新領域創成科学研究科,専攻名,研究室名,教員名,説明,研究室HP,キーワード,引用元HP 
新領域創成科学研究科,先端生命科学専攻,分子認識化学分野,片岡宏誌 教授・永田晋治 准教授,私たちは、昆虫を研究対象に「発育」や「摂食」といった生命現象の解明に取り組んでいます。ペプチドホルモンやステロイドホルモンが「発育」や「摂食」をどのように制御するか、さらに、ホルモンがどのようにつくられるかに興味を持っています。生物は、ホルモンなど固有の情報分子を利用した様々な調節・制御系を持ち、細胞の分化・増殖、生理状態をコントロールし、個体として、また種として統一が取れた生命の維持を行っています。分子認識化学分野では、これらの調節・制御系に関わる生体情報分子であるペプチドホルモンやステロイドホルモンなどに注目して、それらの化学構造や生合成経路を明らかにするとともに、細胞膜や細胞内に存在する受容体分子によって認識される過程、それによって引き起こされる細胞や個体の機能変化について研究を進めています。,http://park.itc.u-tokyo.ac.jp/molecular-recognition/ja/,"昆虫,発育,摂食,生命現象,ペプチドホルモン,ステロイドホルモンホルモン,脱皮,変態,生理状態,分子認識化学
",http://park.itc.u-tokyo.ac.jp/molecular-recognition/ja/
新領域創成科学研究科,先端生命科学専攻,細胞応答化学分野,久恒辰博 准教授 ,超高齢化社会が進行するわが国において、認知症を患うお年寄りの数が400万人を超え、緊急な対応が求められています。脳と心の健康を高め、認知症を予防して行くためには、脳細胞を最適な状態に保つことであると私は考えています。「どのような状態がそれぞれの脳細胞について最適であるか」このことを知るためには、細胞レベルで生理学的な研究を積み重ねていくよりほかありません。これまで脳は、成長の後、全く変わらない臓器であると考えられてきました。そして、歳をとるとともにただ衰えていくだけであると思われてきました。しかしながら、私たちの研究から「大人になっても、脳は成長し修復する能力を保つ」ことが判りました。この能力を上手に活かすことにより、記憶力や認知機能の低下に代表される脳の老化、そして、認知症の予防が可能になると考え研究を行っています。そこで、これまでに、アルツハイマー病モデルマウスを用いた学習記憶・認知機能解析やMRI研究、さらには高齢者ボランティアの協力による脳老化予防の研究を行ってきました。その結果、脳の老化は生活習慣の改善により、ある程度は抑えられることがわかってきました。これらの研究を通じて、脳の健康を高め「健康長寿」に貢献していきたく考えています。,http://hisatsune-lab.k.u-tokyo.ac.jp/,"超高齢化社会,認知症,脳,脳細胞,生理学,脳の老化,認知症予防,アルツハイマー病,モデルマウス,学習記憶,認知機能解析,MRI研究,脳老化予防,健康長寿",http://hisatsune-lab.k.u-tokyo.ac.jp/
新領域創成科学研究科,先端生命科学専攻,生命応答システム分野,大矢禎一 教授・鈴木邦律 准教授,1. 画像解析プログラムを用いた形態表現型の網羅的解析　遺伝子と表現型の関係を明らかにすることは遺伝学の重要なテーマです。真核細胞のモデルとして知られる出芽酵母は通常は楕円体に近い細胞形態をしていますが、遺伝子機能が欠損することにより様々な形態をとるようになります。我々は出芽酵母専用の画像解析システムCalMorphを用いて、500以上の観点から細胞の形態表現型の解析を進めて来ました。出芽酵母の細胞壁、アクチン細胞骨格、核DNAを蛍光試薬で染色すると三重染色画像が得られます。この画像をCalMorphで処理することにより、細胞の大きさ、細長さ、ネック幅などの細胞形態に関する情報、アクチンの細胞内局在に関する情報、核の形や位置に関する情報などを数値として得ることができます。その高次元形態情報を多変量解析や機械学習などの統計的な手法を駆使することにより細胞極性や細胞周期進行に関する形態表現型の解析をすることが可能になります（図1-1）。出芽酵母には非必須遺伝子が4718ありますが、非必須遺伝子破壊株の網羅的形態解析から3300もの遺伝子が形態表現型に影響を与えていることを明らかにしました。類似した機能を持つ遺伝子を欠損すると似た形態を示したことから、変異株の形態表現型はその原因遺伝子の機能と深く関係していることを明らかにしました。これらの遺伝子がどのように機能的に関係しネットワークを形成して細胞形態を形作るのか、そのメカニズムの全貌を明らかにする研究を行っています（図1-2）。実験室で使われる出芽酵母以外に、ワイン酵母や清酒酵母、自然界で生息する酵母などの形態表現型も解析し、システムズバイオロジーだけでなく進化や育種など様々な領域の研究にも貢献しています。2. ハプロ不全性の発生メカニズムの研究　ハプロ不全は二倍体生物のヘテロ接合体において機能欠損側の表現型が現れる、つまり優性の法則が成立せずに機能欠損アレルが優性となる現象であり、稀に見られる遺伝現象であると考えられてきました。例えば、RNA ポリメラーゼサブユニット遺伝子の遺伝子欠損変異をヘテロに持つ出芽酵母二倍体（RPC10/rpc10Δ）は、野生型二倍体酵母（RPC10/RPC10）とは異なる形態を示してしまいます（図2-1）。1コピーの対立遺伝子の喪失が、癌や腫瘍形成、発達障害や神経障害などのヒト優性疾患の原因になることがあることから、ハプロ不全性は大きな関心が持たれてきました。出芽酵母の画像解析システムCalMorphを用いてヘテロ二倍体の細胞形態表現型を徹底的に調べたところ、今までの常識を覆して半数以上の必須遺伝子ヘテロ破壊株がハプロ不全性を示すことが明らかになりました。出芽酵母のハプロ不全性は、従来は増殖表現型の観点から解析されて来ましたが、形態表現型を調べることにより非常に多くのハプロ不全性を示す遺伝子が検出されたのです（図2-2）。現在は、どのような特徴を持つ遺伝子がハプロ不全性を示すのか、ハプロ不全性が起こりやすくなる条件について、研究しています。3. 表現型プロファイリングを用いた薬剤標的の同定出芽酵母を用いた創薬ツールの開発を行っています。出芽酵母は単細胞生物ですが、ヒトと同じ真核生物であり、核やミトコンドリア、小胞体といった細胞内構造とその機能は類似しています。また外界からの刺激に対する応答機構についても、ヒトと出芽酵母との間で高い共通性があります。スタチンやFK506の開発の際に見られたように、出芽酵母で得られる知見は医薬品開発に応用することができます。一方、出芽酵母は真菌の仲間なので、細胞増殖を抑える薬剤は抗真菌剤になる可能性があります。出芽酵母は増殖が早く、遺伝子ノックアウトや強制発現、蛍光タンパク質によるタンパク質の可視化などの遺伝子操作も容易です。酵母ゲノムはヒトゲノムの５年も前に解読されており、ゲノムワイドな遺伝子機能解析も最も進んでいます。このような出芽酵母の特長を活かして抗真菌剤や抗老化剤などの医薬品開発に貢献しようとしています。具体的には、（１）出芽酵母の形態変化に着目した化合物スクリーニング、（２）表現型プロファイリングを用いた化合物標的の同定について研究・開発をしています。4. 清酒酵母のゲノム編集CRSPR/Cas9のゲノム編集技術を使って、エビデンスに基づく遺伝子改変を行い、清酒酵母の育種を行なっています。清酒酵母は日本固有に見られる出芽酵母の亜種であり、今から4000年ほど前に近縁の亜種から分化したと考えられています。その後、清酒酵母は日本酒の醸造に特化して利用されてきました。最近になって日本人研究者によって、醸造特性に影響を与える遺伝子がいくつか同定されてきましたが、清酒酵母は二倍体であり、栄養要求性のマーカーを持っていないために、遺伝子の改変による育種が困難でした。そこで、CRSPR/Cas9のゲノム編集技術を使って理想的な清酒酵母が育種出来るかどうかを試しています。育種の過程における細胞形態変化を調べることにより、育種に細胞形態を利用できないかを研究しています。5. 形態情報を使った発酵・醸造のモニタリングと制御出芽酵母はエタノールをはじめとして多くの物質を生産し、発酵産業で使われています。発酵・醸造過程では、出芽酵母の状態を把握することが必要ですが、酵母の形態に着目してモニタリングすることを、新しく提案しています。形態情報を利用する目的は、１）発酵中の酵母の状態を把握することで発酵産物の量を予想し制御すること、２）酵母の形態変化を指標に育種や酵母の劣化を予想し制御すること、にあります。6. インテリジェント画像活性細胞選抜法（iIACS）を用いた酵母細胞形態の解析iIACSは2018年に本学理学系研究科の合田研究室を中心にして開発された、画像情報を基に細胞を選抜するフローサイトメーターです。我々はこのiIACSを利用して、ハイスループット形態解析が行えないかを研究しています。最終的には、形態情報を利用して、新しい酵母の創成を目指しています（スーパー酵母2020プロジェクト）。6. インテリジェント画像活性細胞選抜法（iIACS）を用いた酵母細胞形態の解析iIACSは2018年に本学理学系研究科の合田研究室を中心にして開発された、画像情報を基に細胞を選抜するフローサイトメーターです。我々はこのiIACSを利用して、ハイスループット形態解析が行えないかを研究しています。最終的には、形態情報を利用して、新しい酵母の創成を目指しています（スーパー酵母2020プロジェクト）。,http://ps.k.u-tokyo.ac.jp/top.html,"画像解析,形態表現型,遺伝子,真核細胞,出芽酵母,アクチン細胞骨格,高次元形態情報,多変量解析,機械学習,細胞極性,細胞周期進行,出芽酵母,変異株,システムズバイオロジー, ハプロ不全性,ヘテロ接合体,機能欠損アレル,RNA ポリメラーゼサブユニット遺伝子,出芽酵母二倍体,癌,腫瘍形成,発達障害,神経障害,ヒト優性疾患,薬剤標的,真核生物,真菌,遺伝子ノックアウト,蛍光タンパク質,可視化,ヒトゲノム,化合物スクリーニング,清酒酵母,醸造,エタノール,インテリジェント画像活性細胞選抜法,ハイスループット形態解析,スーパー酵母2,インテリジェント画像活性細胞選抜法（iIACS）,iIACS",http://ps.k.u-tokyo.ac.jp/top.html
新領域創成科学研究科,先端生命科学専攻,遺伝システム革新学分野,藤原晴彦 教授 ・小嶋徹也 准教授,（Answer）遺伝システム革新学分野では、「擬態や変態」、「肢・翅・触覚などの適応進化」といった昆虫の興味深い発生現象、テロメアやリボソームＤＮＡの特定部位だけに転移する利己的遺伝子（レトロトランスポゾン）の適応戦略、の背景となっている分子機構を主に研究しています。研究メンバーは、分子・細胞から個体発生にいたる様々な新規性の高い現象を研究しており、分野全体は特定の狭いテーマに集約していません。一見散漫に見える研究ユニット全体を見渡して名づけた「擬態・変態・染色体」は、研究室のキャッチフレーズです。遺伝システム革新学という分野の名称も変わったものですが、遺伝子発現の総和としてのネットワークシステムが適応的にどのように変革したかを研究しよう、という意図でつけられました。分野の研究内容を一言で言い表すとすれば、「生命システムの適応戦略を進化的視点から解明する」です。,http://www.idensystem.k.u-tokyo.ac.jp/index.htm,"擬態,変態,肢,翅,触覚,適応進化,昆虫,テロメア,リボソームＤＮＡ,利己的遺伝子,レトロトランスポゾン,染色体,遺伝システム,遺伝子発現,生命システム,適応戦略,進化,レトロトランスポゾン",http://www.idensystem.k.u-tokyo.ac.jp/index.htm
新領域創成科学研究科,先端生命科学専攻,動物生殖システム分野,尾田正二 准教授,生命は、ゲノムの安定性と不安定性とをうまくバランスをとりながら多様性を獲得し、様々な環境適応を遂げ、繁栄してきたと言えます。 本研究室では、このような視点から保守的なゲノム維持と革新的なゲノム変異とがいかにバランスを保ちながら突然変異成立機構を介して生物の多様性を実現してきたのかについて、ゲノムから細胞・個体・集団レベルにわたって包括的に研究を進めています。主にメダカを実験材料とするこれらの研究は、老化や発がん機構の制御にもつながるものです。メダカは新世代の実験脊椎動物としても近年注目されています。 メダカは我が国においては古く江戸時代からペットとして飼育されてきた経緯もあって、遺伝学が非常に発達しています。さらに、近年は、メダカゲノムプロジェクトが進展するとともに、 トランスジェニックメダカの作製、大規模突然変異体の新規技術開発や突然変異体原因遺伝子のポジショナルクローニングが行われています。 遺伝子機能を個体レベルで解析する際には、哺乳類に比べて多数の個体を容易に対象とすることができるメダカは、モデル動物として非常に有望であると考えています。 マウスよりも小回りの効くポストゲノムシークエンス時代の次世代モデル生物としてメダカを日本から世界に発信していけるように、さらなる実験技術開発を進めています。,https://webpark1015.sakura.ne.jp/TOP.html,"ゲノム,ゲノム維持,ゲノム変異,突然変異,メダカ,老化,発がん機構の,実験脊椎動物,メダカゲノム,トランスジェニックメダカ,大規模突然変異体,突然変異体原因遺伝子,ポジショナルクローニング,ポストゲノムシークエンス",https://webpark1015.sakura.ne.jp/TOP.html
新領域創成科学研究科,先端生命科学専攻,人類進化システム分野,河村正二 教授・中山一大 准教授,・河村研究室進化学的視点に立ってヒトという生物種を理解することはたいへん有用です。(主に) 非モデル生物の野生集団における遺伝的多様性とその生態への関連性を明らかにしていくことは、現在のヒトの遺伝的多様性の進化学的意義を再評価する上で必須の情報となります。視覚をはじめとする感覚系遺伝子の進化多様性の研究は近年の機能解析系の発展を背景としてその研究モデルとして大変優れています。こうした問題意識の下に、私たちは分子生物学（集団DNA配列決定、遺伝子発現解析、in vitro 機能アッセイ）、生化学、集団遺伝学、分子進化学、行動生態学にまたがる学際的アプローチによって、次の研究プロジェクトを追求しています。・中山研究室2017年7月に東京大学・先端生命科学専攻・人類進化システム分野内に新設された研究室です。ヒト(Homo sapiens)を主な対象として進化遺伝学的な研究を展開します。肥満や高脂血症のような生活習慣病へのかかりやすさを決めるゲノム多様性の起源東アジア人での寒冷適応の遺伝的メカニズムの解明遊牧民族と農耕民族のゲノム・エピゲノム多様性パターンのちがい以上の３点について、国内外でのDNA試料の収集と表現型の調査実験室でのDNA多型解析実験・分子生物学実験コンピューターを使った生物統計解析・遺伝解析・進化遺伝学解析等の幅広い手法で研究しています。,http://www.jinrui.ib.k.u-tokyo.ac.jp/index.html,"進化学的視点,非モデル生物,遺伝的多様性,ヒト,進化学,視覚,感覚系遺伝子,分子生物学,集団DNA配列決定,遺伝子発現解析,in vitro 機能アッセイ,生化学,集団遺伝学,分子進化学,行動生態学,Homo sapiens,肥満,高脂血症,生活習慣病,東アジア人,遺伝的メカニズム,遊牧民族,農耕民族,DNA試料,DNA多型解析実験・分子生物学実験,生物統計解析,遺伝解析,進化遺伝学解析",http://www.jinrui.ib.k.u-tokyo.ac.jp/index.html
新領域創成科学研究科,先端生命科学専攻,資源生物制御学分野,青木不学 教授・鈴木雅京 准教授,当研究室ではマウスを用いて生殖細胞・胚子の全能性獲得機構について研究を行うマウス班(青木教授)と、昆虫を用いてその性決定機構について研究を行う昆虫班(鈴木准教授)が同じ場所で研究を行っています。,http://webpark1599.sakura.ne.jp/seigyo/,"生殖細胞,胚子,全能性獲得機構,マウス,昆虫,性決定機構",http://webpark1599.sakura.ne.jp/seigyo/
新領域創成科学研究科,先端生命科学専攻,資源生物創成学分野,鈴木 匡 准教授,当研究室は、「古くから共進化してきた植物と微生物、昆虫の相互作用を解析し、有用な生物資源の作出を目指す」をコンセプトに発足しました。中でも、植物の病気は、植物と微生物、そして微生物を媒介する昆虫の相互作用を研究するよいモデルとなります。過去には微生物としてファイトプラズマ、植物RNAゲノムを持つウイルス、植物DNAゲノムを持つウイルスを対象とし研究を重ねてきましたが、現在では主として植物RNAウイルスの中でもっとも広い宿主範囲を持つ、ククモウイルス属ウイルスを研究対象としています。　そもそも、ウイルスは「細胞生物｣ではありません。我々の対象としている植物ウイルスなどは、遺伝子も5個くらいしか持っていません！しかし、宿主細胞の生命活動を巧みに利用し、自身を増やして宿主植物を病気にしてしまいます。どんな機構があるのでしょうか？　そういったコンセプトで、植物ウイルスと、それらによって病気となる宿主植物との相互作用を分子レベルで明らかにし、植物ウイルスの病原性発現機構(発病機構)、移行機構、宿主決定機構および遺伝子発現機構などのウイルスによる生命現象の解明を目指しています。　主な戦略は、遺伝子工学の手法を用いて、植物ウイルスの遺伝子を改変してその効果を確かめる（「遺伝子操作」によって新しい知見を得ることができる研究、バイオテクノロジー）、という研究室です。遺伝子改変をするのが好きな方(?)、農業に貢献したい、植物の病気に興味がある、ウイルスに興味がある、など大歓迎です。研究成果は、植物のウイルス病の防除、有用な植物資源の創成へとつながると信じています！ 　特に、今興味があって解明すべく取り組み、かつ将来有用な資源として使えると考えているのは、1.　1アミノ酸、いや1塩基が変異することで、病原性が劇的に変わること2.　RNAゲノムの、ある塩基配列、構造がRNA分解酵素耐性をもっていることです。このような新しい取り組みを一緒にやる人、歓迎します。植物ウイルスは、人を含む哺乳動物には感染せず、安全に取り扱うことができます。しかも、遺伝子の大きさが小さいために、遺伝子操作が容易です（細胞生物は、ピンポイントで遺伝子操作をすることは、可能になっていますが、まだまだ容易ではありません）。そして、遺伝子操作したウイルスを再び感染させる「人工的にデザインした遺伝子を持つウイルスを新たに作ることができる」というのが大きな魅力です。初心者でもやる気があって、根気があって、失敗してもめげず、実験が好きで、労力をいとわなければ、2年間で十分に成果を上げ、5年間で立派な研究者になることができるでしょう。そういった意欲と忍耐を持った人を大歓迎します。また、ちょっとした疑問を大切にして、自分で調べたり議論できる人を歓迎します。　ウイルス、というのはちょっと特殊で、対象そのものを研究するというより、「ウイルスが植物に与える影響」を、「ウイルス遺伝子を取り出しプラスミドで遺伝子操作をする」というような、間接的にウイルスを扱う、というイメージです。なので、自分が実験したことの目に見えた成果が得られるまでは思ったよりも時間がかかります。それを理解して忍耐強く、コツコツを積み重ねられる人が向いています。　学部が植物病理系、植物生理系、分子生物学系の人は、比較的「植物ウイルス」になじみやすいようです。例えば生態学などフィールド系出身者は、正直、分子生物学実験でとっても苦労します。性に合わない場合も多々あります。よほどの理由と、人の倍以上苦労する覚悟がないと、短期間で順応するのは難しいかと思います。　また、大学院では友達をたくさん作って、ワイワイと楽しく過ごす、という気持ちが、「研究をする」よりも勝っている人は、基本的にどこの大学院も合わないでしょう。大学院は高校、大学の延長ではありません。社会に出る年齢になっても「大学」という施設を使って、「無給で」実験をするのが大学院です。当然寡黙に個人個人でやるのが基本です。イメージとしては、必死で泥にまみれる覚悟がある人が合っています。もちろん、密かに「学歴ロンダリング」を目的の一つとしている人は、「実験しないと成果が得られない」ウチのような研究室は全く合いません。他をあたってください。＊もちろん、病原性の強い「悪いウイルス」、宿主範囲の広い「悪いウイルス」が作れたとしても、決して広めてはいけません。あくまでも「ウイルスを退治する」ための研究です。,https://sites.google.com/a/edu.k.u-tokyo.ac.jp/ib_birt/,"遺伝子発現,植物分子生物学,植物遺伝子工学,農学,植物病理学,境界農学,応用分子細胞生物学,分子生物学,植物ウイルス,ククモウイルス,病徴発現,病原性解析,多重遺伝子翻訳,ウイルスベクター,RNAサイレンシング,ジーンサイレンシング,ラッカセイ,トマト,ササゲ,MicroTom",https://sites.google.com/a/edu.k.u-tokyo.ac.jp/ib_birt/
新領域創成科学研究科,先端生命科学専攻,生命機能解析学分野,大谷 美沙都 准教授 ,１）植物細胞の分化全能性発現を支える分子基盤の解明植物細胞の特徴のひとつとして、分化全能性が挙げられます。分化全能性は例えば器官再生として顕在化しますが、器官再生は通常時の発生プログラムの流用によることが分かってきています。私たちは、pre-mRNAスプライシングやRNA品質管理の制御異常が器官再生不全を引き起こすことを突き止め、発生プログラムの柔軟な運用を支える基盤としてのRNA代謝の重要性を提唱しています。こうしたRNA代謝研究を深化させ、植物細胞の増殖能・分化能を制御する分子機構の詳細解析、さらには効率的なクローン増殖技術の開発を進めます。２）植物の環境応答におけるバイオポリマーダイナミクスの役割の解明移動性の低い植物は、生育場所の環境要因（温度、光、栄養など）の変化に常に応答し、生命機能の恒常性を維持していると考えられます。本研究室では、遺伝子発現制御の要であるRNAや、外的環境に対する最初のバリアーである植物細胞壁に注目し、植物環境応答におけるこれらバイオポリマー（RNAや細胞壁を構成するセルロース、ヘミセルロース、リグニン、ペクチンなど）の代謝制御の役割を明らかにします。これまでに、RNA代謝・高次構造とペクチン修飾・分解の研究から、これらが環境因子を直接的に感知・応答するセンサーかつリアクターとして機能しうることを見出してきました。こうしたバイオポリマーの改変による環境応答の人工制御も将来的課題の一つです。３）木質バイオマス生合成の分子的理解と応用近年の環境問題の深刻化は、私たちの社会活動の在り方について、抜本的見直しを強く要求しています。持続可能な社会システムの構築に向けて、本研究室では、木質バイオマス（木化した二次細胞壁に含まれる細胞壁ポリマー）の生合成の分子的理解を進めます。既に二次細胞壁生合成の転写制御ネットワークを明らかにしてきました。今後は、比較オミクス解析・トランスオミクス解析による二次細胞壁生合成のシステムとしての理解や、二次細胞壁の進化的起源の探求を推し進め、木質バイオマスの利活用性向上を後押しする新たな分子育種ターゲットを見出します。,https://plantfunkashiwa.jimdofree.com/,"植物細胞,分化全能性発現,分子基盤,分化全能性,器官再生,pre-mRNAスプライシング,RNA品質管理,RNA代謝,クローン増殖技術,環境応答,バイオポリマーダイナミクス,生命機能,遺伝子発現制御,RNA,植物細胞壁,ペクチン修飾,木質バイオマス生合成,持続可能な社会システム,木質バイオマス,二次細胞壁生合成,転写制御ネットワーク,比較オミクス解析,トランスオミクス解析,分子育種",https://plantfunkashiwa.jimdofree.com/
新領域創成科学研究科,先端生命科学専攻,統合生命科学分野,松永 幸大 教授 ,1.　プラニマル細胞プロジェクト －合成生物学的手法を用いたプラニマル細胞の創製－藻類は地球上の40％の光合成を担う生物です。この藻類が取り込まれた二次共生生物は、動物、菌類、植物の様々な系統で生じています。この二次共生現象を合成生物学的手法で再現し、光合成を行うことができる動物細胞「プラニマル細胞」を創製します。松永研究室ではイタリアの火山の火口から採取された原始紅藻シゾンの研究を続けています。このシゾン研究の成果を最大限に生かし、藻類を取り込んだ動物細胞の作成に挑戦しています。このプラニマル細胞は、地球上の生態系における物質循環やエネルギー消費に革命を起こし、生命体の宇宙空間･長距離移動にも応用できると期待されています。2.　植物の核内動態プロジェクト －植物細胞核内の調和機構を探る－植物の細胞核内で行われる遺伝子の複製、転写、修復は調和が取れて初めて、植物の発生･分化･応答が行われます。この調和機構をクロマチンダイナミクスに注目して、四次元的に解析をしています。3.　植物再生能プロジェクト植物はさし木や接ぎ木が容易にできるように、高い再生能力を保持しています。この再生能力の秘密をエピジェネティクス制御から解き明かします。また、分化器官から直接（受精することなく）、胚（種子の中身）を分化させる体細胞胚発生の研究も進めています。将来的には種子がなくても、植物を栽培育成できるようになると期待されています。4.　植物イメージングプロジェクト植物をイメージングする新規技術の開発を進めています。当研究室が開発した植物を数時間で透明にできるTOMEIは、東京化成工業から日本、欧米など全世界で販売され、好評を博しています。,http://park.itc.u-tokyo.ac.jp/matsunaga_lab/index.html,",プラニマル細胞,藻類,二次共生現象,動物細胞,プラニマル,原始,紅藻,シゾン,核内動態,植物細胞,植物再生,植物,さし木,接ぎ木,分化器官,胚,植物イメージングプロジェクト,TOMEI",http://park.itc.u-tokyo.ac.jp/matsunaga_lab/index.html
新領域創成科学研究科,先端生命科学専攻,生命環境適応性解析学分野,岩崎 渉 教授 ,私たちの研究室では、特定の生物や個別の問題にフォーカスした従来の生物学から、俯瞰的な「データサイエンス」へと変貌する生物学への大きな流れに注目しています。そして、バイオインフォマティクス、理論・数理、実験、フィールドサンプリング、また他分野の技術や手法も含めたあらゆるアプローチを取り入れつつ、以下の５つの本質的な問いに挑むことをミッションとしています。生物学における未発見の法則・可能性を求めて生命システム・ゲノム進化学極めて精巧で複雑な生命システムはどうして進化できたのか？エコシステム戦略学生態系はどうして今の姿で安定に維持されているのか？機能未知遺伝子学・DNA配列空間学40億年の生命の歴史はどのような未知の遺伝子機能を進化させたのか？対偶遺伝学・二次元オーミクスビッグデータから未知の遺伝子機能に迫るための方法論は？遺伝子誕生学この広い地球上で遺伝子は今どれだけ生まれているのか？特に関連する研究分野・研究領域は、以下の通りです。【バイオインフォマティクス】特に進化情報学・生態情報学分野【進化学】特にゲノム進化学・生命システム進化学分野【微生物生態学・ゲノム微生物学・環境DNA学】特に微生物ダークマター・非モデル生物・メタゲノム・データベース分野,http://iwasakilab.k.u-tokyo.ac.jp/,"データサイエンス,バイオインフォマティクス,フィールドサンプリング,生命システム,ゲノム進化学,エコシステム戦略学,機能未知遺伝子学,DNA配列空間学,対偶遺伝学,二次元オーミクス,ビッグデータ,遺伝子機能,遺伝子誕生学,バイオインフォマティクス,進化情報学,生態情報学分野,ゲノム進化学,生命システム進化学,微生物生態学,ゲノム微生物学,環境DNA学,微生物ダークマター,非モデル生物,メタゲノム,データベース",http://iwasakilab.k.u-tokyo.ac.jp/
新領域創成科学研究科,先端生命科学専攻,分子生態遺伝学分野,石川 麻乃 准教授 ,私たちを取り巻く自然環境は、複雑で、常に変動しています。そして、生物は、その生息環境に合うかのように、実に多様な形、行動、生活史を示します。この生物の多様化は、どのような機構により生じたのでしょうか？どんな発生・生理・神経機構の改変が、この進化をもたらすのでしょうか？その改変は、いくつの、どんな遺伝的変異によって、生じたのでしょうか？それらの変異に共通する分子的な特徴はあるでしょうか？このような問いの解明は、適応進化がどこまで自由で、どこまで制約されているのか、その一般性をも提示するかもしれません。さらに、適応進化の原因となった遺伝的変異の生態系内での振る舞いを解析することも重要です。近年、生物の適応進化の遺伝的変異が少しずつ同定されつつあるものの、これらが生態系内でどのように生まれ、広がっていくのか、その多くが分かっていません。また、この遺伝的変異が、種間相互作用などを介して生態系自体に影響を与える可能性も指摘されています。つまり、自然界である遺伝的変異が生まれ、維持される機構を理解するためには、進化を引き起こした遺伝的変異の個体・分子レベルの機能と共に、生態系内での動態や生態系への影響、そのフィードバックをも理解する必要があります。研究室では、ミクロ生物学からマクロ生物学まで幅広い分野の解析手法を導入し、生物の多様化を引き起こす適応進化機構を、分子・生態の両面から明らかにすることを目指しています。,https://sites.google.com/view/asanoishikawa/home%20,"生息環境,遺伝的変異,分子的な特徴,適応進化,生態系,種間相互作用,ミクロ生物学,マクロ生物学,適応進化機構",https://sites.google.com/view/asanoishikawa/home%20
新領域創成科学研究科,先端生命科学専攻,がん先端生命科学分野,土原一哉 教授・石井源一郎 教授 ・安永正浩 教授・小林 進 教授,"""がんを細胞の異常として把握する学問は20世紀後半に大きく 進歩したが、組織の形態や機能の異常として捉える学問はやっ とその緒についたばかりである。本分野では組織形態・機能の 異常としてのがんの合理的把握と解明を目的とし、さらに現実 的応用としての治療戦略の開発も視野に入れる。 １）がんナノテクノロジー研究 (松村・安永研) ・抗体と工学系マテリアルの融合による次世代DDS創成 ・浸潤がんにおける血液凝固亢進に関する研究 ・Cancer Stromal Targeting (CAST）治療・診断の研究 ・家でできる体液中のがん診断法の開発 ・分子イメージングとバイオインフォマティクスの応用 ・リンパ球を標的にした診断治療法の開発 ２）微小環境に着目したがんの本態解明と治療開発（落合・石 井研） がんは、がん細胞とそれらを取り巻く非がん細胞から構成さ れる複雑な組織である。当部では、がん細胞と非がん細胞が形 成する微小環境モデルを、蛍光タンパク、time lapse imaging などの技術を駆使して作製し、がんの進展機構、薬剤感受性機 構の解明に取り組んでいる。さらに、ヒト臨床検体を用いてこ れらを検証することにより、がんの本態解明とあらたな治療開 発を目指している ３）ゲノム・エピゲノムの多様性に基づくがんの発生・進展機 構の解明と診断・治療への応用（土原研） 正常な細胞ががん化し、進展する過程では多様なゲノム・エ ピゲノムの変化が集積し、それらががん細胞を取り巻く微小環 境に適応していく際に強力なドライビングフォースとなると考 えられる。大規模シークエンス技術に基づくゲノムワイドの網 羅的探索の応用により、個々の症例における適応反応を系統的 に解析し、新たながんの生物学的特性の発見を目指している。 さらにこうして得られた知見を、分子標的薬をはじめとする抗 がん療法の個別化、最適化にも応用していく。 """,http://www.ib.k.u-tokyo.ac.jp/assets/files/2018_Cancer(J).pdf,"がん,がんナノテクノロジー,抗体,DDS創成,浸潤がん,血液凝固亢進,Cancer Stromal Targeting (CAST）治療,分子イメージング,バイオインフォマティクス,リンパ球,がん細胞,蛍光タンパク,time lapse imaging,ゲノム・エピゲノム,ゲノムワイド,生物学的特性,分子標的薬,抗がん療法",http://www.ib.k.u-tokyo.ac.jp/assets/files/2018_Cancer(J).pdf
新領域創成科学研究科,説明なし,応用生物資源学分野,瀬筒秀樹 教授,unknown,,,unknown
新領域創成科学研究科,説明なし,応用生物資源学分野,内藤 健 准教授,unknown,https://www.naro.go.jp/laboratory/nias/introduction/chart/0205/index.html,,https://www.naro.go.jp/laboratory/nias/introduction/chart/0205/index.html
新領域創成科学研究科,説明なし,応用生物資源学分野,黄川田隆洋 准教授,unknown,,,unknown
新領域創成科学研究科,説明なし,応用生物資源学分野,堀 清純 准教授 ,unknown,https://www.naro.go.jp/laboratory/nics/introduction/chart/0604/index.html,,https://www.naro.go.jp/laboratory/nics/introduction/chart/0604/index.html
新領域創成科学研究科,説明なし,同位体生態学分野,米田 穣 教授,私たちは、同位体生態学という新たな視点から過去のヒトの生活や社会、ヒトと動物や環境との関係を研究しています。2006年4月から人類進化システム分野・先史人類学研究室として活動してきましたが、2012年4月から本郷キャンパスにて同位体生態学分野としてスタートしました。研究室は、東京大学本郷キャンパスの総合研究博物館・放射性炭素年代測定室に所属します。,http://c14.um.u-tokyo.ac.jp/yoneda/,"自然人類学,先史学,安定同位体,放射性炭素年代測定、,Bone Chemistry,考古科学,骨考古学",http://c14.um.u-tokyo.ac.jp/yoneda/
